MERRA_ID,YEAR,CLOUD_COVER_AVG,SHORTWAVE_SURFACE_AVG
136621,2020,0.23,181870
138347,2020,0.24,183541.2
148770,2020,0.52,127356.8
149346,2020,0.54,124389
137194,2020,0.22,181921.4
134943,2020,0.51,147394.6
137243,2020,0.49,149389.5
137819,2020,0.49,147622
138348,2020,0.26,183809.9
149922,2020,0.55,122207.1
134319,2021,0.34,177333.3
149346,2021,0.56,120018.9
137819,2021,0.48,149927.8
148770,2021,0.55,122767.3
149922,2021,0.56,119527.2
133786,2021,0.5,147688.6
136621,2021,0.27,176369.3
151077,2021,0.58,118823.2
134943,2021,0.5,144324.8
137241,2021,0.49,148762.3
138346,2021,0.27,175557.1
133787,2021,0.5,146645.9
133790,2021,0.52,144578.7
136090,2021,0.48,150383.7
138924,2021,0.31,173419.6
138349,2021,0.3,175326.4
134361,2021,0.49,148363.2
137243,2021,0.48,150394.2
134896,2021,0.33,177205.5
137194,2021,0.27,176332.2
138348,2021,0.31,174448
134895,2021,0.32,177570.1
135515,2021,0.47,150898.1
136045,2021,0.27,177808.1
136620,2021,0.27,176761
138347,2021,0.3,174673.2
138922,2021,0.27,175052.6
144732,2021,0.53,131330.7
137819,2022,0.43,156622.9
134361,2022,0.42,155698.2
134896,2022,0.32,177648.4
138347,2022,0.27,178894
148770,2022,0.55,124386.5
138924,2022,0.29,176120.6
149346,2022,0.56,121742.5
151077,2022,0.59,116538.9
134319,2022,0.33,177599.9
137241,2022,0.43,156633.4
134895,2022,0.31,178334.3
134943,2022,0.46,147416.9
136090,2022,0.43,156770
136621,2022,0.26,179991
138346,2022,0.25,180618
138349,2022,0.29,177711
138922,2022,0.25,179769.3
144732,2022,0.51,136240.3
149922,2022,0.57,120472.1
133786,2022,0.43,153841.2
133787,2022,0.44,152445.9
135515,2022,0.44,155476.2
136045,2022,0.27,180936.7
136620,2022,0.25,180900.3
137194,2022,0.24,181093.6
133790,2022,0.45,148966.7
137243,2022,0.43,157758.1
138348,2022,0.29,177356.8
133786,2023,0.46,153514.9
133787,2023,0.46,153857.7
134896,2023,0.29,183481.6
134895,2023,0.28,183992
136620,2023,0.24,180499.7
136621,2023,0.25,180257.3
137243,2023,0.45,153688.2
138924,2023,0.31,178324.5
148770,2023,0.52,125313.8
151077,2023,0.56,116909.8
134943,2023,0.48,151360.6
149922,2023,0.55,121263.9
136045,2023,0.25,181827.7
138349,2023,0.28,179554.8
134361,2023,0.45,154873.7
138346,2023,0.27,179305.8
137241,2023,0.46,152558.8
144732,2023,0.47,136158.9
138347,2023,0.29,179365.6
135515,2023,0.46,154274.1
138348,2023,0.3,179142.6
133790,2023,0.47,152553.2
134319,2023,0.3,184476.9
136090,2023,0.46,154444.5
137194,2023,0.25,180127.9
137819,2023,0.45,153082.3
138922,2023,0.28,178323.1
149346,2023,0.54,122829.8
134319,2024,0.28,182935.6
138347,2024,0.26,180594.5
134361,2024,0.44,155849
149346,2024,0.54,120851.9
133786,2024,0.45,154068.8
135515,2024,0.42,156953.9
136045,2024,0.23,182405.6
137819,2024,0.43,155406.2
133787,2024,0.45,153731.6
136090,2024,0.42,158498.4
136620,2024,0.22,182373.6
137243,2024,0.42,156558
138349,2024,0.28,178814.1
138922,2024,0.25,180716.7
144732,2024,0.48,138258.6
151077,2024,0.56,116416.2
138348,2024,0.29,179052.1
134943,2024,0.44,149640.1
137194,2024,0.23,182266.6
137241,2024,0.43,156445
138346,2024,0.24,181159.3
149922,2024,0.54,119547.1
134895,2024,0.27,183141.9
148770,2024,0.53,122786.5
133790,2024,0.46,151351.5
134896,2024,0.28,183116.2
136621,2024,0.23,181424.1
138924,2024,0.29,177844.9
