MERRA_ID,YEAR,TEMP_AVG,TEMP_MEAN_AVG,FREEZE_INDEX,FREEZE_THAW
137241,2019,17.3,17.8,2,37
133786,2019,20.5,20.8,0,13
137194,2019,22.4,22.8,0,6
137243,2019,17.3,17.7,1,31
138348,2019,13.9,14.3,47,69
148770,2019,7,7.1,684,86
149346,2019,6.7,6.8,705,89
136090,2019,18.3,18.8,0,27
138346,2019,19.5,19.9,0,21
134319,2019,18.3,18.9,0,24
136045,2019,22.1,22.4,0,10
138349,2019,12.9,13.5,82,85
138924,2019,12.8,13.2,64,87
134361,2020,19.6,20,0,18
151077,2020,5.2,5.1,1052,105
134319,2020,19.6,20.3,0,11
137241,2020,16.6,17,6,36
138347,2020,18,18.5,0,34
133787,2020,20.1,20.4,0,13
138348,2020,15.6,16.2,3,73
138922,2020,19.6,20,0,13
138924,2020,14.5,15.1,6,97
134895,2020,20.9,21.5,0,8
138349,2020,14.7,15.3,6,96
149922,2020,7.8,7.8,542,113
133786,2020,20.2,20.5,0,14
137819,2020,15.4,15.8,6,43
134896,2020,18.7,19.4,0,26
134943,2020,20.6,20.9,0,8
136090,2020,17.6,18.1,2,25
136620,2020,23.2,23.6,0,1
136621,2020,23.7,24.1,0,2
137243,2020,16.6,17,3,36
148770,2020,8.7,8.7,428,106
149346,2020,8.4,8.4,460,100
133790,2020,21,21.4,0,10
136045,2020,23.4,23.8,0,2
138346,2020,21,21.4,0,6
135515,2020,18.6,18.9,0,20
137194,2020,23.6,24,0,1
144732,2020,11,11.1,138,116
138348,2021,15.3,15.9,11,61
138349,2021,14.5,15.1,22,75
137241,2021,16.3,16.8,3,43
138346,2021,21.1,21.5,0,4
148770,2021,9,9.1,488,85
149346,2021,8.8,8.9,511,83
133787,2021,19.3,19.6,0,11
136045,2021,23.1,23.5,0,0
151077,2021,6.3,6.3,1047,60
133786,2021,19.4,19.8,0,10
134895,2021,20.3,21,0,3
134896,2021,18.2,18.9,0,16
136621,2021,23.5,23.9,0,0
137819,2021,15.1,15.6,1,59
138924,2021,14.3,14.9,16,79
133790,2021,20.4,21,0,4
134319,2021,19.2,19.8,0,7
