MERRA_ID,YEAR,REL_HUM_AVG_AVG
148770,2014,77
138349,2014,41
136620,2014,30
134943,2014,76
136045,2014,32
133790,2014,78
134896,2014,40
137194,2014,28
135515,2014,76
138347,2014,35
136621,2014,31
138348,2014,38
149922,2014,74
133787,2014,79
134895,2014,38
137241,2014,76
136090,2014,76
137819,2014,76
138922,2014,31
138924,2014,40
144732,2014,75
149346,2014,76
133786,2014,79
134319,2014,41
151077,2014,79
134361,2014,78
137243,2014,76
138346,2014,30
144732,2015,75
134895,2015,43
138346,2015,33
137819,2015,78
138348,2015,44
149346,2015,73
133787,2015,79
133790,2015,80
134361,2015,78
135515,2015,77
148770,2015,75
137194,2015,31
138924,2015,45
151077,2015,76
134319,2015,46
134896,2015,46
136620,2015,34
137241,2015,78
138922,2015,35
149922,2015,71
138347,2015,39
134943,2015,79
136090,2015,78
137243,2015,78
133786,2015,78
136045,2015,35
136621,2015,33
138349,2015,47
133790,2016,74
134361,2016,73
134943,2016,75
136620,2016,31
137819,2016,71
149346,2016,73
133787,2016,75
151077,2016,78
134896,2016,41
136045,2016,32
137194,2016,29
149922,2016,70
144732,2016,75
134319,2016,39
136621,2016,30
138922,2016,34
134895,2016,37
136090,2016,71
137241,2016,70
137243,2016,71
138347,2016,37
148770,2016,74
133786,2016,75
138348,2016,42
138924,2016,44
135515,2016,71
138346,2016,32
138349,2016,46
138922,2017,34
149346,2017,76
133786,2017,75
133787,2017,76
135515,2017,75
137819,2017,77
148770,2017,77
138347,2017,36
134896,2017,37
144732,2017,76
138924,2017,43
149922,2017,73
134319,2017,38
136620,2017,30
136621,2017,30
137194,2017,30
137243,2017,76
151077,2017,81
134361,2017,76
133790,2017,77
134895,2017,35
134943,2017,76
136045,2017,31
138346,2017,31
138348,2017,41
138349,2017,45
136090,2017,77
137241,2017,76
149922,2018,72
136045,2018,33
137819,2018,80
148770,2018,76
138346,2018,30
138349,2018,41
134943,2018,76
151077,2018,79
134319,2018,40
138348,2018,38
133787,2018,79
149346,2018,75
137194,2018,28
138347,2018,34
138924,2018,40
133786,2018,77
133790,2018,77
134361,2018,77
134895,2018,37
134896,2018,40
136090,2018,78
137241,2018,78
137243,2018,78
138922,2018,32
136620,2018,30
136621,2018,30
135515,2018,76
144732,2018,80
134895,2019,41
137241,2019,74
137194,2019,33
138349,2019,47
149346,2019,77
133790,2019,76
136045,2019,36
138924,2019,44
134319,2019,44
136090,2019,74
136621,2019,34
137243,2019,74
149922,2019,74
137819,2019,76
138347,2019,39
138922,2019,37
144732,2019,79
151077,2019,80
133787,2019,76
136620,2019,34
134943,2019,76
138346,2019,35
134896,2019,44
138348,2019,43
148770,2019,77
133786,2019,74
134361,2019,74
135515,2019,72
134361,2020,77
134896,2020,36
148770,2020,74
133786,2020,77
137243,2020,79
138346,2020,29
138348,2020,35
144732,2020,77
137194,2020,28
149346,2020,74
134895,2020,33
136621,2020,29
138347,2020,32
138349,2020,38
138924,2020,35
133790,2020,78
134943,2020,77
135515,2020,78
136090,2020,79
137241,2020,79
136620,2020,29
138922,2020,30
133787,2020,78
134319,2020,36
136045,2020,30
137819,2020,80
149922,2020,72
151077,2020,79
138348,2021,38
138924,2021,39
134895,2021,37
137819,2021,78
138347,2021,34
133790,2021,78
151077,2021,75
136090,2021,77
133787,2021,80
134319,2021,39
134943,2021,76
133786,2021,79
137194,2021,27
138922,2021,30
148770,2021,74
134896,2021,39
149346,2021,73
149922,2021,70
136621,2021,30
144732,2021,76
136045,2021,31
136620,2021,29
137241,2021,77
137243,2021,77
134361,2021,78
135515,2021,76
138346,2021,28
138349,2021,42
133786,2022,72
134361,2022,72
135515,2022,71
149922,2022,70
149346,2022,72
144732,2022,75
136090,2022,72
138348,2022,39
137241,2022,73
136045,2022,33
136620,2022,31
133787,2022,73
137243,2022,72
151077,2022,73
134896,2022,42
134943,2022,74
137194,2022,28
137819,2022,73
133790,2022,75
138347,2022,35
138924,2022,40
138346,2022,30
138922,2022,32
134895,2022,38
134319,2022,40
136621,2022,31
138349,2022,42
148770,2022,73
138924,2023,43
151077,2023,72
138922,2023,34
134943,2023,76
133787,2023,76
135515,2023,73
138346,2023,32
134361,2023,74
136090,2023,74
137241,2023,74
138349,2023,45
133790,2023,76
134895,2023,35
134896,2023,37
137194,2023,30
148770,2023,74
133786,2023,74
136045,2023,33
136620,2023,31
144732,2023,73
149346,2023,73
149922,2023,69
134319,2023,36
138348,2023,41
136621,2023,31
137243,2023,75
137819,2023,74
138347,2023,37
137243,2024,74
144732,2024,72
136620,2024,30
138346,2024,29
149922,2024,69
138347,2024,33
138922,2024,30
133790,2024,78
134895,2024,35
133787,2024,77
136045,2024,31
149346,2024,73
134896,2024,37
134943,2024,77
138349,2024,40
137194,2024,28
137819,2024,75
138924,2024,38
136621,2024,30
134319,2024,37
134361,2024,76
136090,2024,74
138348,2024,37
133786,2024,76
135515,2024,74
137241,2024,74
148770,2024,75
151077,2024,71
