STATE_CODE,STATE_CODE_EXP,SHRP_ID,TRAFFIC_OPEN_YEAR_EXP_NO,VEHICLE_CLASS,VEHICLE_CLASS_EXP,VEH_CLASS_DIST_PERCENT,VEH_CLASS_GROWTH_RATE,VEH_CLASS_GROWTH_FUNCTION,VEH_CLASS_GROWTH_USE_RATING,VEH_CLASS_GROWTH_USE_RATING_EXP,AADTT_FIRST_YEAR_LTPP_LANE
4,Arizona,1003,1975,8,"FHWA Class 8 (Four or less axle, one trailer truck)",3.4700000286102295,11.710000038146973,linear,6,Bad - No monitoring data are present.,649
4,Arizona,1003,1975,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.12999999523162842,4.5,compound,6,Bad - No monitoring data are present.,649
4,Arizona,1003,1993,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.09000000357627869,5.980000019073486,compound,6,Bad - No monitoring data are present.,2225
4,Arizona,1003,1975,12,"FHWA Class 12 (Six axle, multi trailer truck)",2.700000047683716,11.9399995803833,linear,6,Bad - No monitoring data are present.,649
4,Arizona,1003,1975,4,FHWA Class 4 (Buses),1.0299999713897705,11.739999771118164,linear,6,Bad - No monitoring data are present.,649
4,Arizona,1003,1993,7,FHWA Class 7 (Four or more axle Single-unit truck),0.03999999910593033,17.920000076293945,linear,6,Bad - No monitoring data are present.,2225
4,Arizona,1003,1975,7,FHWA Class 7 (Four or more axle Single-unit truck),0.029999999329447746,29.81999969482422,linear,6,Bad - No monitoring data are present.,649
4,Arizona,1003,1993,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.6800000071525574,6.03000020980835,compound,6,Bad - No monitoring data are present.,2225
4,Arizona,1003,1975,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.6800000071525574,11.529999732971191,linear,6,Bad - No monitoring data are present.,649
4,Arizona,1003,1993,4,FHWA Class 4 (Buses),1.0299999713897705,6.039999961853027,compound,6,Bad - No monitoring data are present.,2225
4,Arizona,1003,1993,12,"FHWA Class 12 (Six axle, multi trailer truck)",2.740000009536743,6.039999961853027,compound,6,Bad - No monitoring data are present.,2225
4,Arizona,1003,1993,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",7.75,6.059999942779541,compound,6,Bad - No monitoring data are present.,2225
4,Arizona,1006,1976,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",7.409999847412109,6,compound,6,Bad - No monitoring data are present.,856
4,Arizona,1006,1993,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.11999999731779099,15.949999809265137,linear,6,Bad - No monitoring data are present.,1574
4,Arizona,1006,1976,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.10999999940395355,6.320000171661377,compound,6,Bad - No monitoring data are present.,856
4,Arizona,1006,1993,8,"FHWA Class 8 (Four or less axle, one trailer truck)",3.990000009536743,15.930000305175781,linear,6,Bad - No monitoring data are present.,1574
4,Arizona,1006,1976,8,"FHWA Class 8 (Four or less axle, one trailer truck)",4.010000228881836,5.980000019073486,compound,6,Bad - No monitoring data are present.,856
4,Arizona,1006,1993,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.5799999833106995,16.079999923706055,linear,6,Bad - No monitoring data are present.,1574
4,Arizona,1006,1976,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.5799999833106995,6.050000190734863,compound,6,Bad - No monitoring data are present.,856
4,Arizona,1006,1993,7,FHWA Class 7 (Four or more axle Single-unit truck),0.05000000074505806,5.190000057220459,compound,6,Bad - No monitoring data are present.,1574
4,Arizona,1006,1976,7,FHWA Class 7 (Four or more axle Single-unit truck),0.10000000149011612,0,linear,6,Bad - No monitoring data are present.,856
4,Arizona,1006,1993,9,"FHWA Class 9 (Five axle, one trailer truck)",74.98999786376953,15.890000343322754,linear,6,Bad - No monitoring data are present.,1574
