STATE_CODE,STATE_CODE_EXP,SHRP_ID,YEAR,MONTH,VEHICLE_CLASS,VEHICLE_CLASS_EXP,TRF_DATA_TYPE,TRF_DATA_TYPE_EXP,MONTHLY_RATIO
4,Arizona,1001,1994,9,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,1.1200000047683716
4,Arizona,1001,1994,10,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,1.2400000095367432
4,Arizona,1001,1994,11,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,1.059999942779541
4,Arizona,1001,1994,12,6,FHWA Class 6 (Three axle Single-unit truck),4,Classification,1
4,Arizona,1001,1994,1,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,0.3499999940395355
4,Arizona,1001,1994,2,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,0.17000000178813934
4,Arizona,1001,1994,3,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,0.4000000059604645
4,Arizona,1001,1994,6,7,FHWA Class 7 (Four or more axle Single-unit truck),4,Classification,1.100000023841858
4,Arizona,1001,1994,11,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,Classification,1.100000023841858
4,Arizona,1001,1994,12,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,Classification,1.1799999475479126
4,Arizona,1001,1994,1,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,0.9100000262260437
4,Arizona,1001,1994,2,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,0.9100000262260437
4,Arizona,1001,1994,3,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,1.3600000143051147
4,Arizona,1001,1994,6,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,1.3600000143051147
4,Arizona,1001,1994,7,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,0.44999998807907104
4,Arizona,1001,1994,8,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,1.3600000143051147
4,Arizona,1001,1994,9,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,0.9100000262260437
4,Arizona,1001,1994,10,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,0.9100000262260437
4,Arizona,1001,1994,11,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,0.9100000262260437
4,Arizona,1001,1994,2,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4,Classification,1.0399999618530273
4,Arizona,1001,1994,3,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4,Classification,1.1799999475479126
4,Arizona,1001,1994,6,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4,Classification,0.9399999976158142
4,Arizona,1001,1994,7,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4,Classification,0.9700000286102295
4,Arizona,1001,2007,5,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,Classification,1
4,Arizona,1001,2007,6,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,Classification,1.0199999809265137
4,Arizona,1001,2007,7,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,Classification,0.9200000166893005
4,Arizona,1001,2007,8,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,Classification,0.9800000190734863
4,Arizona,1001,2007,12,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,Classification,0.8600000143051147
4,Arizona,1001,2007,1,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,1.2300000190734863
4,Arizona,1001,2007,2,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,1.1100000143051147
4,Arizona,1001,2007,3,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,1.1100000143051147
4,Arizona,1001,2007,4,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,1.2300000190734863
4,Arizona,1001,2007,5,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,0.7400000095367432
4,Arizona,1001,2007,6,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,1.1100000143051147
4,Arizona,1001,2007,7,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",4,Classification,0.9900000095367432
