STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND,ANNUAL_TRUCK_VOLUME_TREND
4,Arizona,1003,5,2023,12300,4489500
4,Arizona,1003,6,2015,8475,3093375
4,Arizona,1003,6,2016,9015,3299490
4,Arizona,1003,6,2017,9589,3499985
4,Arizona,1006,5,2020,4641,1698606
4,Arizona,1006,5,2021,4729,1726085
4,Arizona,1006,5,2022,4815,1757475
4,Arizona,1006,5,2023,4903,1789595
4,Arizona,1006,6,2015,4200,1533000
4,Arizona,1006,6,2016,4288,1569408
4,Arizona,1006,6,2017,4376,1597240
4,Arizona,1006,6,2018,4465,1629725
4,Arizona,1006,6,2019,4553,1661845
4,Arizona,1006,6,2020,4641,1698606
4,Arizona,1006,6,2021,4729,1726085
4,Arizona,1006,6,2022,4815,1757475
4,Arizona,1006,6,2023,4903,1789595
4,Arizona,1006,7,2020,4641,1698606
4,Arizona,1006,7,2021,4729,1726085
4,Arizona,1006,7,2022,4815,1757475
4,Arizona,1006,7,2023,4903,1789595
4,Arizona,1006,1,1976,864,316224
4,Arizona,1006,1,1977,912,332880
4,Arizona,1006,1,1978,864,315360
4,Arizona,1006,1,1979,936,341640
4,Arizona,1006,1,1980,960,351360
4,Arizona,1006,1,1981,1044,381060
4,Arizona,1006,1,1982,1440,525600
4,Arizona,1006,1,1983,1440,525600
4,Arizona,1006,1,1984,1440,527040
4,Arizona,1006,1,1985,1680,613200
4,Arizona,1006,1,1986,1800,657000
4,Arizona,1006,1,1987,1680,613200
4,Arizona,1006,1,1988,1680,614880
4,Arizona,1006,1,1989,1920,700800
4,Arizona,1006,1,1990,1980,722700
4,Arizona,1006,1,1991,2275,830375
4,Arizona,1006,1,1992,2400,878400
4,Arizona,1006,1,1993,1700,620500
4,Arizona,1006,2,1991,2275,830375
4,Arizona,1006,2,1992,2400,878400
4,Arizona,1006,2,1993,1700,620500
4,Arizona,1006,3,1992,2400,878400
4,Arizona,1006,3,1993,1700,620500
4,Arizona,1006,4,1993,1700,620500
4,Arizona,1006,4,1994,2347,856655
4,Arizona,1006,4,1995,2435,888775
4,Arizona,1006,4,1996,2523,923418
4,Arizona,1006,4,1997,2611,953015
4,Arizona,1006,4,1998,2700,985500
4,Arizona,1006,4,1999,2788,1017620
4,Arizona,1006,4,2000,2876,1052616
4,Arizona,1006,4,2001,2964,1081860
4,Arizona,1006,4,2002,3053,1114345
4,Arizona,1006,4,2003,3141,1146465
4,Arizona,1006,4,2004,3229,1181814
4,Arizona,1006,4,2005,3317,1210705
4,Arizona,1006,4,2006,3406,1243190
4,Arizona,1006,4,2007,3494,1275310
4,Arizona,1006,4,2008,3582,1311012
4,Arizona,1006,4,2009,3670,1339550
4,Arizona,1006,4,2010,3759,1372035
4,Arizona,1006,4,2011,3847,1404155
4,Arizona,1006,4,2012,3935,1440210
4,Arizona,1006,4,2013,4023,1468395
4,Arizona,1006,4,2014,4112,1500880
4,Arizona,1006,4,2015,4200,1533000
4,Arizona,1006,4,2016,4288,1569408
4,Arizona,1006,4,2017,4376,1597240
4,Arizona,1006,4,2018,4465,1629725
4,Arizona,1006,4,2019,4553,1661845
