STATE_CODE,STATE_CODE_EXP,SHRP_ID,VEHICLE_CLASS,VEHICLE_CLASS_EXP,SINGLE_AXLES,TANDEM_AXLES,TRIDEM_AXLES,QUAD_AXLES
4,Arizona,1015,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.47,0.45,0,0
4,Arizona,1015,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1.25,1.13,1,0.63
4,Arizona,1015,9,"FHWA Class 9 (Five axle, one trailer truck)",1.09,1.95,0,0
4,Arizona,1015,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.89,1,0,0.38
4,Arizona,1016,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.16,3,0,0
4,Arizona,1016,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.96,0.98,0,0.55
4,Arizona,1016,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.54,0.43,0,0
4,Arizona,1016,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4.99,0.07,0,0
4,Arizona,1016,7,FHWA Class 7 (Four or more axle Single-unit truck),0,0,0,0
4,Arizona,1016,4,FHWA Class 4 (Buses),1.11,0.9,0,0
4,Arizona,1016,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1016,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,1,1.05,0
4,Arizona,1016,9,"FHWA Class 9 (Five axle, one trailer truck)",1.08,1.96,0,0
4,Arizona,1016,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0.01,0,0
4,Arizona,1017,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0.01,0,0
4,Arizona,1017,4,FHWA Class 4 (Buses),1.09,0.91,0,0
4,Arizona,1017,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.41,2.64,1.69,0.51
4,Arizona,1017,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.51,0.54,0,0
4,Arizona,1017,7,FHWA Class 7 (Four or more axle Single-unit truck),1,0,1,0
4,Arizona,1017,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1017,9,"FHWA Class 9 (Five axle, one trailer truck)",1.09,1.95,0,0
4,Arizona,1017,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.97,1.02,0,0
4,Arizona,1017,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0.06,0.01,0
4,Arizona,1017,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,1,1,0
4,Arizona,1018,9,"FHWA Class 9 (Five axle, one trailer truck)",1.08,1.96,0,0
4,Arizona,1018,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1.18,1.09,1,0
4,Arizona,1018,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.5,0.51,0,0
4,Arizona,1018,7,FHWA Class 7 (Four or more axle Single-unit truck),0,0,0,0
4,Arizona,1018,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",1.99,0.01,0,0
4,Arizona,1018,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4.96,0.07,0,0
4,Arizona,1018,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1018,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.4,2.8,0,0
4,Arizona,1018,4,FHWA Class 4 (Buses),1.18,0.82,0,0
4,Arizona,1018,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.02,0.55,0,0.57
4,Arizona,1021,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1021,7,FHWA Class 7 (Four or more axle Single-unit truck),1,0,1,0
4,Arizona,1021,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.3,2.9,0.51,0.05
4,Arizona,1021,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
4,Arizona,1021,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,1021,4,FHWA Class 4 (Buses),1.17,0.83,0,0
4,Arizona,1021,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.97,0.33,0,0
4,Arizona,1021,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,0.99,1.01,0
4,Arizona,1021,9,"FHWA Class 9 (Five axle, one trailer truck)",1.17,1.92,0,0
4,Arizona,1021,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.99,1,0,0
4,Arizona,1022,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.32,2.87,0.49,0.06
4,Arizona,1022,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.99,1,0,0
4,Arizona,1022,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.97,0.33,0,0
4,Arizona,1022,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
4,Arizona,1022,7,FHWA Class 7 (Four or more axle Single-unit truck),1,0,1,0
4,Arizona,1022,4,FHWA Class 4 (Buses),1.17,0.83,0,0
4,Arizona,1022,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1022,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,1,1,0
4,Arizona,1022,9,"FHWA Class 9 (Five axle, one trailer truck)",1.17,1.92,0,0
4,Arizona,1022,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,1024,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,1024,4,FHWA Class 4 (Buses),1.23,0.78,0,0
4,Arizona,1024,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.43,2.73,0.5,0.24
4,Arizona,1024,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.83,0.48,0,0
4,Arizona,1024,7,FHWA Class 7 (Four or more axle Single-unit truck),1.03,0.2,0.97,0
4,Arizona,1024,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1024,9,"FHWA Class 9 (Five axle, one trailer truck)",1.16,1.92,0,0
4,Arizona,1024,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,1,0,0
4,Arizona,1024,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
4,Arizona,1024,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,1.05,0.96,0
4,Arizona,1025,9,"FHWA Class 9 (Five axle, one trailer truck)",1.13,1.94,0,0
4,Arizona,1025,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1.02,1.01,1,0
4,Arizona,1025,8,"FHWA Class 8 (Four or less axle, one trailer truck)",3,0.37,0,0
4,Arizona,1025,7,FHWA Class 7 (Four or more axle Single-unit truck),1,0,1,0
4,Arizona,1025,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,1025,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0.01,0,0
4,Arizona,1025,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0.02,0
4,Arizona,1025,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.52,2.49,0.76,0.6
4,Arizona,1025,4,FHWA Class 4 (Buses),1.14,0.86,0,0
4,Arizona,1025,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,1,0.01,0
4,Arizona,1034,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1034,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.48,2.65,1.45,0.1
