STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,VISIT_DATE,VISIT_NO,RUN_NUMBER,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,IRI_CENTER_LANE,MRI,IRI_LEFT_WHEEL_PATH_FLAG,IRI_LEFT_WHEEL_PATH_FLAG_EXP,IRI_RIGHT_WHEEL_PATH_FLAG,IRI_RIGHT_WHEEL_PATH_FLAG_EXP,IRI_CENTER_LANE_FLAG,IRI_CENTER_LANE_FLAG_EXP,MRI_FLAG,MRI_FLAG_EXP,PAVEMENT_FAMILY,PAVEMENT_FAMILY_EXP
4,Arizona,1002,1,Tue Apr 03 1990 20:00:00 GMT-0400 (Eastern Daylight Time),04100201,2,1.3420000076293945,1.621999979019165,,1.4819999933242798,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,1,Tue Apr 03 1990 20:00:00 GMT-0400 (Eastern Daylight Time),04100201,3,1.687999963760376,1.5509999990463257,,1.6200000047683716,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,1,Tue Apr 03 1990 20:00:00 GMT-0400 (Eastern Daylight Time),04100201,4,1.597000002861023,1.684000015258789,,1.6410000324249268,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,1,Tue Apr 03 1990 20:00:00 GMT-0400 (Eastern Daylight Time),04100201,5,1.5720000267028809,1.5989999771118164,,1.5850000381469727,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Tue Feb 09 1993 19:00:00 GMT-0500 (Eastern Standard Time),04100203,5,2.76200008392334,3.8440001010894775,,3.302999973297119,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Tue May 02 1995 20:00:00 GMT-0400 (Eastern Daylight Time),04100204,2,2.384000062942505,2.7049999237060547,,2.5439999103546143,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Tue May 02 1995 20:00:00 GMT-0400 (Eastern Daylight Time),04100204,3,2.447999954223633,2.9089999198913574,,2.677999973297119,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Tue May 02 1995 20:00:00 GMT-0400 (Eastern Daylight Time),04100204,6,2.506999969482422,2.9489998817443848,,2.7279999256134033,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Tue May 02 1995 20:00:00 GMT-0400 (Eastern Daylight Time),04100204,1,2.4200000762939453,2.7230000495910645,,2.571000099182129,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Tue May 02 1995 20:00:00 GMT-0400 (Eastern Daylight Time),04100204,7,2.4839999675750732,2.684999942779541,,2.5840001106262207,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Tue Feb 09 1993 19:00:00 GMT-0500 (Eastern Standard Time),04100203,4,2.691999912261963,3.4260001182556152,,3.059000015258789,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Tue Feb 09 1993 19:00:00 GMT-0500 (Eastern Standard Time),04100203,3,2.805000066757202,3.38100004196167,,3.0929999351501465,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Tue Feb 09 1993 19:00:00 GMT-0500 (Eastern Standard Time),04100203,2,2.5989999771118164,3.6760001182556152,,3.13700008392334,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Sun Feb 23 1992 19:00:00 GMT-0500 (Eastern Standard Time),04100202,6,3.121999979019165,3.1019999980926514,,3.111999988555908,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Sun Feb 23 1992 19:00:00 GMT-0500 (Eastern Standard Time),04100202,9,3.4079999923706055,2.815000057220459,,3.1110000610351562,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Tue Feb 09 1993 19:00:00 GMT-0500 (Eastern Standard Time),04100203,1,3.181999921798706,3.2739999294281006,,3.2279999256134033,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Sun Feb 23 1992 19:00:00 GMT-0500 (Eastern Standard Time),04100202,5,3.0490000247955322,3.138000011444092,,3.0940001010894775,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Sun Feb 23 1992 19:00:00 GMT-0500 (Eastern Standard Time),04100202,3,2.9590001106262207,3.121000051498413,,3.0399999618530273,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Sun Feb 23 1992 19:00:00 GMT-0500 (Eastern Standard Time),04100202,1,2.7639999389648438,3.1679999828338623,,2.9660000801086426,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Mon Apr 13 1998 20:00:00 GMT-0400 (Eastern Daylight Time),04100206,3,0.5580000281333923,0.6779999732971191,,0.6179999709129333,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Mon Apr 13 1998 20:00:00 GMT-0400 (Eastern Daylight Time),04100206,4,0.5630000233650208,0.6660000085830688,,0.6140000224113464,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Mon Mar 01 1999 19:00:00 GMT-0500 (Eastern Standard Time),04100207,3,0.609000027179718,0.7089999914169312,,0.6589999794960022,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Mon Mar 01 1999 19:00:00 GMT-0500 (Eastern Standard Time),04100207,4,0.5740000009536743,0.7080000042915344,,0.640999972820282,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Mon Mar 01 1999 19:00:00 GMT-0500 (Eastern Standard Time),04100207,7,0.6000000238418579,0.718999981880188,,0.6589999794960022,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Mon Mar 01 1999 19:00:00 GMT-0500 (Eastern Standard Time),04100207,5,0.5720000267028809,0.7519999742507935,,0.6620000004768372,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Wed Feb 19 1997 19:00:00 GMT-0500 (Eastern Standard Time),04100205,5,0.5540000200271606,0.6269999742507935,,0.5899999737739563,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Wed Feb 19 1997 19:00:00 GMT-0500 (Eastern Standard Time),04100205,1,0.5410000085830688,0.6309999823570251,,0.5860000252723694,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Wed Feb 19 1997 19:00:00 GMT-0500 (Eastern Standard Time),04100205,2,0.5260000228881836,0.6309999823570251,,0.5789999961853027,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Wed Feb 19 1997 19:00:00 GMT-0500 (Eastern Standard Time),04100205,4,0.5730000138282776,0.609000027179718,,0.5910000205039978,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Wed Feb 19 1997 19:00:00 GMT-0500 (Eastern Standard Time),04100205,3,0.5429999828338623,0.6430000066757202,,0.5929999947547913,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Mon Apr 13 1998 20:00:00 GMT-0400 (Eastern Daylight Time),04100206,2,0.5580000281333923,0.6790000200271606,,0.6179999709129333,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Mon Apr 13 1998 20:00:00 GMT-0400 (Eastern Daylight Time),04100206,1,0.5879999995231628,0.6420000195503235,,0.6150000095367432,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Mon Apr 13 1998 20:00:00 GMT-0400 (Eastern Daylight Time),04100206,5,0.5759999752044678,0.6439999938011169,,0.6100000143051147,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Mon Mar 01 1999 19:00:00 GMT-0500 (Eastern Standard Time),04100207,1,0.5419999957084656,0.6759999990463257,,0.609000027179718,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,2,Sat Mar 24 1990 19:00:00 GMT-0500 (Eastern Standard Time),04100301,3,0.8510000109672546,0.7710000276565552,,0.8109999895095825,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,2,Sat Mar 24 1990 19:00:00 GMT-0500 (Eastern Standard Time),04100301,4,0.8899999856948853,0.7910000085830688,,0.8410000205039978,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,2,Sat Mar 24 1990 19:00:00 GMT-0500 (Eastern Standard Time),04100301,2,0.8529999852180481,0.7710000276565552,,0.8119999766349792,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,2,Sat Mar 24 1990 19:00:00 GMT-0500 (Eastern Standard Time),04100301,5,0.8009999990463257,0.7210000157356262,,0.7609999775886536,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,2,Sat Mar 24 1990 19:00:00 GMT-0500 (Eastern Standard Time),04100301,1,0.7440000176429749,0.6899999976158142,,0.7170000076293945,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,3,Wed Feb 17 1993 19:00:00 GMT-0500 (Eastern Standard Time),04100302,2,1.2280000448226929,0.859000027179718,,1.0440000295639038,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,3,Wed Feb 17 1993 19:00:00 GMT-0500 (Eastern Standard Time),04100302,5,1.4220000505447388,0.8379999995231628,,1.1299999952316284,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,3,Wed Feb 17 1993 19:00:00 GMT-0500 (Eastern Standard Time),04100302,3,1.3630000352859497,0.7940000295639038,,1.0789999961853027,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,3,Wed Feb 17 1993 19:00:00 GMT-0500 (Eastern Standard Time),04100302,4,1.4459999799728394,0.8479999899864197,,1.1469999551773071,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,3,Wed Feb 17 1993 19:00:00 GMT-0500 (Eastern Standard Time),04100302,1,1.3619999885559082,0.8040000200271606,,1.0829999446868896,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Thu Nov 08 2001 19:00:00 GMT-0500 (Eastern Standard Time),04100308,9,0.7149999737739563,0.7020000219345093,,0.7089999914169312,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Thu Nov 08 2001 19:00:00 GMT-0500 (Eastern Standard Time),04100308,4,0.7350000143051147,0.7279999852180481,,0.7310000061988831,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Thu Nov 08 2001 19:00:00 GMT-0500 (Eastern Standard Time),04100308,7,0.7459999918937683,0.6650000214576721,,0.7059999704360962,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Thu Nov 08 2001 19:00:00 GMT-0500 (Eastern Standard Time),04100308,3,0.7419999837875366,0.6909999847412109,,0.7160000205039978,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Thu Nov 08 2001 19:00:00 GMT-0500 (Eastern Standard Time),04100308,2,0.7369999885559082,0.6869999766349792,,0.7120000123977661,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Sat Feb 07 2004 19:00:00 GMT-0500 (Eastern Standard Time),04100309,4,0.7350000143051147,0.7919999957084656,,0.7630000114440918,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Sat Feb 07 2004 19:00:00 GMT-0500 (Eastern Standard Time),04100309,9,0.7919999957084656,0.6579999923706055,,0.7250000238418579,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Sat Feb 07 2004 19:00:00 GMT-0500 (Eastern Standard Time),04100309,7,0.7599999904632568,0.7639999985694885,,0.7620000243186951,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Sat Feb 07 2004 19:00:00 GMT-0500 (Eastern Standard Time),04100309,8,0.7450000047683716,0.7509999871253967,,0.7480000257492065,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Sat Feb 07 2004 19:00:00 GMT-0500 (Eastern Standard Time),04100309,5,0.7490000128746033,0.7120000123977661,,0.7310000061988831,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Fri Dec 09 2011 19:00:00 GMT-0500 (Eastern Standard Time),04100310,6,0.8600000143051147,0.6790000200271606,,0.7699999809265137,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Fri Dec 09 2011 19:00:00 GMT-0500 (Eastern Standard Time),04100310,8,0.8199999928474426,0.6570000052452087,,0.7379999756813049,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Fri Dec 09 2011 19:00:00 GMT-0500 (Eastern Standard Time),04100310,5,0.8640000224113464,0.6639999747276306,,0.7639999985694885,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
