STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,FIELD_SET,TEST_TEMPERATURE,CREEP_COMP_1_SEC,CREEP_COMP_2_SEC,CREEP_COMP_5_SEC,CREEP_COMP_10_SEC,CREEP_COMP_20_SEC,CREEP_COMP_50_SEC,CREEP_COMP_100_SEC
4,Arizona,1002,3,2,2,-10,0.041999999433755875,0.04500000178813934,0.04699999839067459,0.04899999871850014,0.050999999046325684,0.054999999701976776,0.05900000035762787
4,Arizona,1002,3,2,2,5,0.08900000154972076,0.09600000083446503,0.10999999940395355,0.12200000137090683,0.1340000033378601,0.1550000011920929,0.17800000309944153
4,Arizona,1002,3,2,2,25,0.22300000488758087,0.26600000262260437,0.3569999933242798,0.44600000977516174,0.5559999942779541,0.7590000033378601,1.0269999504089355
4,Arizona,1002,3,5,2,-10,0.04600000008940697,0.052000001072883606,0.05900000035762787,0.06400000303983688,0.07100000232458115,0.08100000023841858,0.09300000220537186
4,Arizona,1002,3,5,2,5,0.09799999743700027,0.11500000208616257,0.1459999978542328,0.17499999701976776,0.2160000056028366,0.28999999165534973,0.3799999952316284
4,Arizona,1002,3,5,2,25,0.42899999022483826,0.6119999885559082,1.0219999551773071,1.4609999656677246,2.1730000972747803,3.4649999141693115,4.942999839782715
4,Arizona,1003,4,5,2,5,0.07199999690055847,0.08299999684095383,0.0989999994635582,0.11599999666213989,0.13600000739097595,0.17800000309944153,0.22599999606609344
4,Arizona,1003,4,5,2,25,0.4129999876022339,0.6029999852180481,0.9179999828338623,1.371000051498413,2.0980000495910645,3.6470000743865967,5.676000118255615
4,Arizona,1003,4,5,2,-10,0.04399999976158142,0.04800000041723251,0.052000001072883606,0.054999999701976776,0.05900000035762787,0.06700000166893005,0.07400000095367432
4,Arizona,1006,4,6,2,5,0.07199999690055847,0.0820000022649765,0.09600000083446503,0.11400000005960464,0.13699999451637268,0.17800000309944153,0.23100000619888306
4,Arizona,1006,4,6,2,-10,0.04500000178813934,0.04800000041723251,0.05299999937415123,0.0560000017285347,0.061000000685453415,0.07100000232458115,0.07999999821186066
