TABLE_NAME,FIELD_NAME,FIELD_ALIAS,FIELD_DESCRIPTION,FIELD_UNIT,FIELD_CODETYPE,UNIT_SYSTEM
ANALYSIS_IRI,STATE_CODE_EXP,State Code (Code Expansion),Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards. (Code Expansion),,,
ANALYSIS_IRI,SHRP_ID,LTPP Section Identifier,Test section identification number assigned by LTPP program. Must be combined with STATE_CODE to be unique.,,,
ANALYSIS_IRI,CONSTRUCTION_NO,Construction Number,Event number used to relate changes in pavement structure with other time dependent data elements. This field is set to 1 when a test section is initially accepted into LTPP and is incremented with each change to the layer structure.,,,
ANALYSIS_IRI,VISIT_DATE,Visit Date,Date the profile visit was started.,,,
ANALYSIS_IRI,VISIT_NO,Longitudinal Survey Unique Visit Number,Unique identification for each site visit made by profiling equipment.,,,
ANALYSIS_IRI,RUN_NUMBER,Longitudinal Survey Run Number,Number indicating the position of the run in the series.,,,
ANALYSIS_IRI,IRI_LEFT_WHEEL_PATH,Left Wheel Path IRI,IRI value for left wheel path.,m/km,,Metric
ANALYSIS_IRI,IRI_RIGHT_WHEEL_PATH,Right Wheel Path IRI,IRI value for right wheel path.,m/km,,Metric
ANALYSIS_IRI,IRI_CENTER_LANE,Center Lane IRI,IRI value for center of the lane.,m/km,,Metric
ANALYSIS_IRI,MRI,Mean Roughness Index,Mean Roughness Index - Average of the left and right wheel path IRI values.,m/km,,Metric
ANALYSIS_IRI,IRI_LEFT_WHEEL_PATH_FLAG,Left Wheel Path IRI Outlier Type,Flag indicating that the IRI left lane value is a potential anomaly.,,PERFORMANCE_FLAG,
ANALYSIS_IRI,IRI_LEFT_WHEEL_PATH_FLAG_EXP,Left Wheel Path IRI Outlier Type (Code Expansion),Flag indicating that the IRI left lane value is a potential anomaly. (Code Expansion),,,
ANALYSIS_IRI,IRI_RIGHT_WHEEL_PATH_FLAG,Right Wheel Path IRI Outlier Type,Flag indicating that the IRI right lane value is a potential anomaly.,,PERFORMANCE_FLAG,
ANALYSIS_IRI,IRI_RIGHT_WHEEL_PATH_FLAG_EXP,Right Wheel Path IRI Outlier Type (Code Expansion),Flag indicating that the IRI right lane value is a potential anomaly. (Code Expansion),,,
ANALYSIS_IRI,IRI_CENTER_LANE_FLAG,Center Lane IRI Outlier Type,Flag indicating that the IRI center lane value is a potential anomaly.,,PERFORMANCE_FLAG,
ANALYSIS_IRI,IRI_CENTER_LANE_FLAG_EXP,Center Lane IRI Outlier Type (Code Expansion),Flag indicating that the IRI center lane value is a potential anomaly. (Code Expansion),,,
ANALYSIS_IRI,MRI_FLAG,Mean Roughness Index Outlier Type,Flag indicating that the Mean Roughness Index value is a potential anomaly.,,PERFORMANCE_FLAG,
ANALYSIS_IRI,MRI_FLAG_EXP,Mean Roughness Index Outlier Type (Code Expansion),Flag indicating that the Mean Roughness Index value is a potential anomaly. (Code Expansion),,,
ANALYSIS_IRI,PAVEMENT_FAMILY,Pavement Family,Code indicating pavement family assigned based on experiment design and layer structure of the pavement section.,,PAVEMENT_FAMILY,
ANALYSIS_IRI,PAVEMENT_FAMILY_EXP,Pavement Family (Code Expansion),Code indicating pavement family assigned based on experiment design and layer structure of the pavement section. (Code Expansion),,,
ANALYSIS_JOINT,LAYER_NO,Layer Number,"Unique sequential number assigned to pavement layers, starting with layer 1 as the deepest layer (subgrade).",,,
ANALYSIS_JOINT,SHRP_ID,LTPP Section Identifier,Test section identification number assigned by LTPP program. Must be combined with STATE_CODE to be unique.,,,
ANALYSIS_JOINT,STATE_CODE,State Code,Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards.,,STATE_PROVINCE,
ANALYSIS_JOINT,STATE_CODE_EXP,State Code (Code Expansion),Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards. (Code Expansion),,,
ANALYSIS_JOINT,DEPTH_OF_SAWCUT,Depth of Sawcut,Average depth of saw cut.,mm,,Metric
ANALYSIS_JOINT,LONG_JOINT_FORMING,Longitudinal Joint Forming Method,Code for method used to form the longitudinal joint between the lanes.,,LONG_JOINT_FORMED,
ANALYSIS_JOINT,LONG_JOINT_FORMING_EXP,Longitudinal Joint Forming Method (Code Expansion),Code for method used to form the longitudinal joint between the lanes. (Code Expansion),,,
ANALYSIS_JOINT,SHOULDER_JOINT_FORMING,Shoulder to Traffic Lane Joint Forming Method,Code for method used to form joint between the shoulder and the traffic lane.,,SH_JOINT_FORMED,
ANALYSIS_JOINT,SHOULDER_JOINT_FORMING_EXP,Shoulder to Traffic Lane Joint Forming Method (Code Expansion),Code for method used to form joint between the shoulder and the traffic lane. (Code Expansion),,,
ANALYSIS_JOINT,TIME_BETWEEN_PLACE_SAWCUT,Time Between PCC Placement and Saw Cut,Time between the time of concrete placement and the time of joint saw cutting.,hr,,Metric
ANALYSIS_JOINT,TRANS_JOINT_FORMING,Transverse Joint Forming Method,Code indicating method used to form transverse joints.,,TRANS_METHOD,
ANALYSIS_JOINT,TRANS_JOINT_FORMING_EXP,Transverse Joint Forming Method (Code Expansion),Code indicating method used to form transverse joints. (Code Expansion),,,
ANALYSIS_JOINT,LONG_SEAL_RESVR_DEPTH,Longitudinal Joint Sealant Reservoir Depth,Average depth of the longitudinal joint sealant reservoir.,mm,,Metric
ANALYSIS_JOINT,LONG_SEAL_RESVR_WIDTH,Longitudinal Joint Sealant Reservoir Width,Average width of the longitudinal joint sealant reservoir.,mm,,Metric
