STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,SURVEY_DATE,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,ME_PERCENT_WHEEL_PATH_CRACK,SURVEY_WIDTH,GATOR_CRACK_A,GATOR_CRACK_A_L,GATOR_CRACK_A_M,GATOR_CRACK_A_H,BLK_CRACK_A,BLK_CRACK_A_L,BLK_CRACK_A_M,BLK_CRACK_A_H,EDGE_CRACK_L,EDGE_CRACK_L_L,EDGE_CRACK_L_M,EDGE_CRACK_L_H,LONG_CRACK_WP_L,LONG_CRACK_WP_L_L,LONG_CRACK_WP_L_M,LONG_CRACK_WP_L_H,LONG_CRACK_NWP_L,LONG_CRACK_NWP_L_L,LONG_CRACK_NWP_L_M,LONG_CRACK_NWP_L_H,LONG_CRACK_WP_SEAL_L,LONG_CRACK_WP_SEAL_L_L,LONG_CRACK_WP_SEAL_L_M,LONG_CRACK_WP_SEAL_L_H,LONG_CRACK_NWP_SEAL_L,LONG_CRACK_NWP_SEAL_L_L,LONG_CRACK_NWP_SEAL_L_M,LONG_CRACK_NWP_SEAL_L_H,TRANS_CRACK_NO,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,PATCH_NO,PATCH_NO_L,PATCH_NO_M,PATCH_NO_H,PATCH_A,PATCH_A_L,PATCH_A_M,PATCH_A_H,POTHOLES_NO,POTHOLES_NO_L,POTHOLES_NO_M,POTHOLES_NO_H,POTHOLES_A,POTHOLES_A_L,POTHOLES_A_M,POTHOLES_A_H,SHOVING_NO,SHOVING_A,BLEEDING,POLISH_AGG_A,RAVELING,PUMPING_NO,PUMPING_L,WP_LENGTH_CRACKED,TRANS_CRACK_L_GT183,LONGIGATOR_CRACKING,BLOCKVERSE_CRACKING,OTHER,HPMS16_CRACKING_PERCENT_AC_FLAG,HPMS16_CRACKING_PERCENT_AC_FLAG_EXP,MEPDG_CRACKING_PERCENT_AC_FLAG,MEPDG_CRACKING_PERCENT_AC_FLAG_EXP,MEPDG_TRANS_CRACK_LENGTH_AC_FLAG_EX,MEPDG_TRANS_CRACK_LENGTH_AC_FLAG,MEPDG_LONG_CRACK_LENGTH_AC_FLAG,MEPDG_LONG_CRACK_LENGTH_AC_FLAG_EXP,WP_LENGTH_CRACKED_FLAG,WP_LENGTH_CRACKED_FLAG_EXP,GATOR_CRACK_A_FLAG,GATOR_CRACK_A_FLAG_EXP,BLK_CRACK_A_FLAG_EXP,BLK_CRACK_A_FLAG,EDGE_CRACK_L_FLAG,EDGE_CRACK_L_FLAG_EXP,LONG_CRACK_WP_L_FLAG,LONG_CRACK_WP_L_FLAG_EXP,LONG_CRACK_WP_SEAL_L_FLAG,LONG_CRACK_WP_SEAL_L_FLAG_EXP,LONG_CRACK_NWP_L_FLAG,LONG_CRACK_NWP_L_FLAG_EXP,LONG_CRACK_NWP_SEAL_L_FLAG_EXP,LONG_CRACK_NWP_SEAL_L_FLAG,TRANS_CRACK_NO_FLAG,TRANS_CRACK_NO_FLAG_EXP,TRANS_CRACK_L_FLAG,TRANS_CRACK_L_FLAG_EXP,TRANS_CRACK_SEAL_L_FLAG,TRANS_CRACK_SEAL_L_FLAG_EXP,PATCH_NO_FLAG_EXP,PATCH_NO_FLAG,PATCH_A_FLAG,PATCH_A_FLAG_EXP,POTHOLES_NO_FLAG,POTHOLES_NO_FLAG_EXP,POTHOLES_A_FLAG,POTHOLES_A_FLAG_EXP,SHOVING_NO_FLAG,SHOVING_NO_FLAG_EXP,SHOVING_A_FLAG_EXP,SHOVING_A_FLAG,BLEEDING_FLAG,BLEEDING_FLAG_EXP,POLISH_AGG_A_FLAG,POLISH_AGG_A_FLAG_EXP,RAVELING_FLAG,RAVELING_FLAG_EXP,PUMPING_NO_FLAG,PUMPING_NO_FLAG_EXP,PUMPING_L_FLAG,PUMPING_L_FLAG_EXP,LONGIGATOR_CRACKING_FLAG,LONGIGATOR_CRACKING_FLAG_EXP,BLOCKVERSE_CRACKING_FLAG,BLOCKVERSE_CRACKING_FLAG_EXP,PAVEMENT_FAMILY,PAVEMENT_FAMILY_EXP
4,Arizona,1003,5,Tue Dec 02 2014 19:00:00 GMT-0500 (Eastern Standard Time),0,0,323.7,0,0,3.799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.20001220703125,22.799999237060547,252.6999969482422,28.700000762939453,0,0,0,0,0,0,0,0,56,45,11,0,49.29999923706055,28.399999618530273,20.899999618530273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.05999999865889549,0,0.05999999865889549,0,0,0,0,0,0,0,0,0,17.600000381469727,0,49.29999923706055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,6,Mon Jan 16 2017 19:00:00 GMT-0500 (Eastern Standard Time),0,0,403.1,0,0,3.799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.3999938964844,299.20001220703125,4,2.200000047683716,0,0,0,0,290.79998779296875,290.79998779296875,0,0,71,61,10,0,58.20000076293945,53.099998474121094,5.099999904632568,0,3.200000047683716,3.200000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,58.20000076293945,NEW SEALANT APPLIED IN 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,6,Tue Jan 19 2021 19:00:00 GMT-0500 (Eastern Standard Time),0,0,520.6,0,0,3.799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,297.5,6,1.5,0,0,0,0,0,0,0,0,81,60,21,0,78.69999694824219,52.79999923706055,25.899999618530273,0,0.6000000238418579,0.6000000238418579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.600000381469727,0,78.69999694824219,RUTTING IN BOTH WHEEL PATHS.,,,,,,,,,,,,,,,,,,,,,,,Unexplained trend,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,6,Mon May 13 2019 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,443.2,0,0,3.799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.29998779296875,299.5,5,1.7999999523162842,0,0,0,0,258.3999938964844,258.3999938964844,0,0,76,61,15,0,65.80000305175781,57.79999923706055,8,0,1.7000000476837158,1.7000000476837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.700000762939453,0,65.80000305175781,LIGHT RUTTING BWP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1006,3,Fri May 21 1993 20:00:00 GMT-0400 (Eastern Daylight Time),3,1,51.2,15.2,2,3.700000047683716,6.800000190734863,0,6.800000190734863,0,0,0,0,0,0,0,0,0,2.299999952316284,2.299999952316284,0,0,21.899999618530273,0,1.2000000476837158,20.700000762939453,0,0,0,0,0,0,0,0,7,2,4,1,7.800000190734863,1.7999999523162842,3.5,2.5,0,0,0,0,4,0,2,2,16.200000762939453,0,9.699999809265137,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.399999618530273,2.700000047683716,9.100000381469727,7.800000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1006,4,Thu Jan 27 1994 19:00:00 GMT-0500 (Eastern Standard Time),0,0,0,0,0,3.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1006,4,Tue Feb 24 1998 19:00:00 GMT-0500 (Eastern Standard Time),0,0,0,0,0,3.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1006,4,Tue Feb 22 2011 19:00:00 GMT-0500 (Eastern Standard Time),1,0,334.1,0,0,3.799999952316284,0.30000001192092896,0.30000001192092896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.79998779296875,4.300000190734863,295,5.5,0,0,0,0,0,0,0,0,57,49,8,0,50.900001525878906,25.600000381469727,25.299999237060547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2999999523162842,23.700000762939453,0.30000001192092896,50.900001525878906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1006,4,Mon Jan 25 2010 19:00:00 GMT-0500 (Eastern Standard Time),0,0,203.5,0,0,3.799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.79998779296875,155.10000610351562,149.6999969482422,0,0,0,0,0,0,0,0,0,29,27,2,0,31,26.200000762939453,4.800000190734863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.300000190734863,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1006,4,Mon Jan 22 2007 19:00:00 GMT-0500 (Eastern Standard Time),0,0,86,0,0,3.799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.79998779296875,257.20001220703125,45.70000076293945,1.899999976158142,0,0,0,0,0,0,0,0,9,9,0,0,13.100000381469727,13.100000381469727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.800000190734863,0,13.100000381469727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
