STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,CN_ASSIGN_DATE,CN_CHANGE_REASON,CN_CHANGE_REASON_EXP,RECORD_STATUS,GPS_SPS,GPS_SPS_EXP,EXPERIMENT_NO,EXPERIMENT_NO_EXP,STATUS_EXP,STATUS,ASSIGN_DATE,DEASSIGN_DATE,SEAS_ID,SUPPLEMENTAL,EXP_SECT_RS,BASIC_INFO_RS,PAV_STRUCT_RS,TRAFFIC_RS,CLIMATIC_RS,PAVEMENT_FAMILY,PAVEMENT_FAMILY_EXP
4,Arizona,1021,5,Tue Dec 31 1996 19:00:00 GMT-0500 (Eastern Standard Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Dec 31 1996 19:00:00 GMT-0500 (Eastern Standard Time),Tue May 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1021,6,Tue Jan 01 2008 19:00:00 GMT-0500 (Eastern Standard Time),"28,33","Surface Treatment, Single Layer, Slurry Seal Coat",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Dec 31 1996 19:00:00 GMT-0500 (Eastern Standard Time),Tue May 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1022,3,Tue Jan 09 1996 19:00:00 GMT-0500 (Eastern Standard Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Jan 09 1996 19:00:00 GMT-0500 (Eastern Standard Time),Tue May 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1022,4,Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Jan 09 1996 19:00:00 GMT-0500 (Eastern Standard Time),Tue May 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1025,5,Mon May 31 1999 20:00:00 GMT-0400 (Eastern Daylight Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Mon May 31 1999 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Apr 30 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1025,6,Tue May 31 2011 20:00:00 GMT-0400 (Eastern Daylight Time),26,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Mon May 31 1999 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Apr 30 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1025,7,Tue May 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Mon May 31 1999 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Apr 30 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1062,1,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1062,2,Sat Dec 31 1988 19:00:00 GMT-0500 (Eastern Standard Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1062,3,Mon Dec 31 1990 19:00:00 GMT-0500 (Eastern Standard Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
