STATE_CODE,STATE_CODE_EXP,SHRP_ID,LAYER_NO,CONSTRUCTION_NO,TEST_TEMPERATURE,MATL_PROPERTY,PROPERTY_MINIMUM,PROPERTY_MAXIMUM,PROPERTY_MEDIAN,PROPERTY_AVERAGE,PROPERTY_STANDARD_DEVIATION,PROPERTY_COEFF_VARIATION,REP_CODE_SOURCE_VARIABILITY,REP_CODE_SOURCE_VARIABILITY_EXP
4,Arizona,1022,4,3,-10,CREEP_COMP_20_SEC,0.048,0.062,0.055,0.055,0.00989949,0.17999082,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,4,3,25,CREEP_COMP_2_SEC,0.315,0.438,0.3765,0.3765,0.08697413,0.231007,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,4,3,-10,CREEP_COMP_2_SEC,0.041,0.048,0.0445,0.0445,0.00494975,0.11123028,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,4,3,5,CREEP_COMP_2_SEC,0.072,0.075,0.0735,0.0735,0.00212132,0.0288615,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,4,3,5,CREEP_COMP_20_SEC,0.116,0.122,0.119,0.119,0.00424264,0.03565244,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,4,3,5,CREEP_COMP_50_SEC,0.145,0.164,0.1545,0.1545,0.01343503,0.08695812,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,4,3,25,CREEP_COMP_10_SEC,0.716,0.988,0.852,0.852,0.19233304,0.22574301,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,4,3,5,CREEP_COMP_5_SEC,0.085,0.087,0.086,0.086,0.00141421,0.01644434,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,4,3,25,CREEP_COMP_1_SEC,0.238,0.281,0.2595,0.2595,0.03040559,0.11716991,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,4,3,5,CREEP_COMP_10_SEC,0.1,0.101,0.1005,0.1005,0.00070711,0.00703589,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1022,4,3,-10,CREEP_COMP_1_SEC,0.036,0.042,0.039,0.039,0.00424264,0.10878566,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,4,3,-10,CREEP_COMP_10_SEC,0.046,0.057,0.0515,0.0515,0.00777817,0.15103252,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,4,3,-10,CREEP_COMP_5_SEC,0.043,0.053,0.048,0.048,0.00707107,0.14731391,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,6,3,25,CREEP_COMP_100_SEC,0.851,1.193,1.022,1.022,0.24183052,0.23662477,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,6,3,5,CREEP_COMP_5_SEC,0.075,0.087,0.081,0.081,0.00848528,0.10475656,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,6,3,25,CREEP_COMP_50_SEC,0.631,0.849,0.74,0.74,0.15414928,0.20830984,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,6,3,5,CREEP_COMP_50_SEC,0.108,0.128,0.118,0.118,0.01414214,0.11984861,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1022,6,3,-10,CREEP_COMP_1_SEC,0.048,0.051,0.0495,0.0495,0.00212132,0.04285496,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
