STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,MATL_PROPERTY,PROPERTY_MINIMUM,PROPERTY_MAXIMUM,PROPERTY_MEDIAN,PROPERTY_AVERAGE,PROPERTY_STANDARD_DEVIATION,PROPERTY_COEFF_VARIATION,REP_CODE_SOURCE_VARIABILITY,REP_CODE_SOURCE_VARIABILITY_EXP
4,Arizona,1003,1,2,THREE_EIGHTHS_PASSING,88,90,89,89,1.414,0.016,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,SPEC_GRAVITY,2.433,3.039,2.708,2.707,0.082,0.03,CL,Representative property expanded from multiple measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,RESILIENT_MODULUS_K3,-2.794,0.592,-0.199,-0.35,0.436,-1.244,CL,Representative property expanded from multiple measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,RESILIENT_MODULUS_K2,0.193,0.962,0.662,0.658,0.116,0.176,CL,Representative property expanded from multiple measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,RESILIENT_MODULUS_K1,364.681,1789.714,793.461,832.462,202.348,0.243,CL,Representative property expanded from multiple measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,RESILIENT_MODULUS,8.9,8.9,8.9,8.9,0,0,CL,Representative property expanded from multiple measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,POISSONS_RATIO,0.35,0.35,0.35,0.35,0,0,D,Representative property imputed using statistical methods and models.
4,Arizona,1003,1,2,PLASTIC_LIMIT,0,17,8.5,8.5,12.021,1.414,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1003,1,2,PLASTICITY_INDEX,8,8,8,8,0,0,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1003,1,2,OPTIMUM_LAB_MOISTURE,7,8,7.5,7.5,0.707,0.094,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,ONE_PASSING,98,99,98.5,98.5,0.707,0.007,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,ONE_HALF_PASSING,92,93,92.5,92.5,0.707,0.008,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,ONE_AND_HALF_PASSING,100,100,100,100,0,0,AS,Representative property from a single measurement.
4,Arizona,1003,1,2,NO_80_PASSING,15,23,19,19,5.657,0.298,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1003,1,2,NO_4_PASSING,76,81,78.5,78.5,3.536,0.045,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,NO_40_PASSING,33,36,34.5,34.5,2.121,0.061,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,NO_200_PASSING,9.2,16.9,13.05,13.05,5.445,0.417,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1003,1,2,NO_10_PASSING,60,66,63,63,4.243,0.067,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,MAX_LAB_DRY_DENSITY,131,133,132,132,1.414,0.011,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1003,1,2,LIQUID_LIMIT,0,25,12.5,12.5,17.678,1.414,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1003,1,2,HYDRAULIC_CONDUCTIVITY,0.002303,0.002303,0.002303,0.002303,0,0,D,Representative property imputed using statistical methods and models.
4,Arizona,1003,1,2,AASHTO_SOIL_CLASS,,,,503,,,D,Representative property imputed using statistical methods and models.
4,Arizona,1003,1,2,TWO_PASSING,100,100,100,100,0,0,AS,Representative property from a single measurement.
4,Arizona,1003,1,2,REPR_THICKNESS,,,,6,,,A,Measured representative property.
4,Arizona,1003,1,2,THREE_PASSING,100,100,100,100,0,0,AS,Representative property from a single measurement.
4,Arizona,1003,2,1,AASHTO_SOIL_CLASS,,,,,,,,
4,Arizona,1003,2,1,TWO_PASSING,,,,,,,,
4,Arizona,1003,2,1,THREE_PASSING,,,,,,,,
4,Arizona,1003,2,1,THREE_FOURTHS_PASSING,,,,,,,,
4,Arizona,1003,2,1,THREE_EIGHTHS_PASSING,,,,,,,,
4,Arizona,1003,2,1,SPEC_GRAVITY,,,,,,,,
4,Arizona,1003,2,1,RESILIENT_MODULUS_K3,,,,,,,,
4,Arizona,1003,2,1,RESILIENT_MODULUS_K2,,,,,,,,
