STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,LAYER_TYPE,LAYER_TYPE_EXP,REPR_THICKNESS,MATL_CODE,MATL_CODE_EXP,DESCRIPTION_EXP,DESCRIPTION,ESTAR_LINK_GROUP,DSR_COMPLEX_MODULUS_TANK,DSR_COMPLEX_PHASE_ANGLE_TANK,DSR_COMPLEX_MODULUS_RTFO,DSR_COMPLEX_PHASE_ANGLE_RTFO,DSR_COMPLEX_MODULUS_PAV,DSR_COMPLEX_PHASE_ANGLE_PAV,IDT_AVERAGE,IDT_TEST_TEMPERATURE,IDT_LOADING_RATE,ABSOLUTE_VISC_140_F,KINEMATIC_VISC_275_F,IDT_POISSON_USED,POISSON_RATIO_TEST_TEMP,AIR_VOIDS_AVG_WP,AIR_VOIDS_AVG_NWP,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,ASPHALT_CONTENT_MEAN,MAX_SPEC_GRAVITY,BSG,THERMAL_CONDUCTIVITY,HEAT_CAPACITY,SUR_SHORTWAVE_ABSORP,COEF_THERMAL_CONTRACTION,AGGR_SPEC_GRAVITY,BINDER_SPEC_GRAVITY,VOIDS_MINERAL_AGGR,VOIDS_FILLED_ASPHALT,PROJECT_LAYER_CODE
4,Arizona,1002,3,6,AC,Asphalt concrete layer,10.16,20,Other,Friction Course,9,,,,,,,,,,50,,,0.3499999940395355,25,,,,,,,,,,,,,,,,1.86,0.28,0.8500000238418579,0,2.680000066757202,1.0299999713897705,,,
4,Arizona,1003,1,3,AC,Asphalt concrete layer,320.04,1,"Hot Mixed, Hot Laid AC, Dense Graded",Original Surface Layer,3,,,,,,,,,,50,,,0.3499999940395355,25,2.180000066757202,,100,100,93,77.5,67.5,52,39,16,6.5,4.099999904632568,4.800000190734863,2.4019999504089355,2.3499999046325684,1.86,0.28,0.8500000238418579,0,2.680000066757202,1.0299999713897705,16.5,86.80000305175781,
4,Arizona,1003,1,4,AC,Asphalt concrete layer,12.7,2,"Hot Mixed, Hot Laid AC, Open Graded",Friction Course,9,,,,,,,,,,50,,,0.3499999940395355,25,,,,,,,,,,,,,,,,1.86,0.28,0.8500000238418579,0,2.680000066757202,1.0299999713897705,,,
4,Arizona,1003,2,3,AC,Asphalt concrete layer,320.04,1,"Hot Mixed, Hot Laid AC, Dense Graded",Original Surface Layer,3,,,,,,,,,,50,,,0.3499999940395355,25,2.180000066757202,,100,100,93,77.5,67.5,52,39,16,6.5,4.099999904632568,4.800000190734863,2.4019999504089355,2.3499999046325684,1.86,0.28,0.8500000238418579,0,2.680000066757202,1.0299999713897705,16.5,86.80000305175781,
4,Arizona,1003,2,4,AC,Asphalt concrete layer,12.7,2,"Hot Mixed, Hot Laid AC, Open Graded",Friction Course,9,,,,,,,,,,50,,,0.3499999940395355,25,,,,,,,,,,,,,,,,1.86,0.28,0.8500000238418579,0,2.680000066757202,1.0299999713897705,,,
4,Arizona,1003,3,3,AC,Asphalt concrete layer,320.04,1,"Hot Mixed, Hot Laid AC, Dense Graded",Original Surface Layer,3,,,,,,,,,,50,,,0.3499999940395355,25,2.180000066757202,,100,100,93,77.5,67.5,52,39,16,6.5,4.099999904632568,4.800000190734863,2.4019999504089355,2.3499999046325684,1.86,0.28,0.8500000238418579,0,2.680000066757202,1.0299999713897705,16.5,86.80000305175781,
4,Arizona,1003,3,4,AC,Asphalt concrete layer,12.7,2,"Hot Mixed, Hot Laid AC, Open Graded",Friction Course,9,,,,,,,,,,50,,,0.3499999940395355,25,,,,,,,,,,,,,,,,1.86,0.28,0.8500000238418579,0,2.680000066757202,1.0299999713897705,,,
4,Arizona,1003,4,3,AC,Asphalt concrete layer,180.34,1,"Hot Mixed, Hot Laid AC, Dense Graded",Original Surface Layer,3,,,,,,,,,,50,,,0.3499999940395355,25,2.180000066757202,,100,100,93,77.5,67.5,52,39,16,6.5,4.099999904632568,4.800000190734863,2.4019999504089355,2.3499999046325684,1.86,0.28,0.8500000238418579,0,2.680000066757202,1.0299999713897705,16.5,86.80000305175781,
4,Arizona,1003,4,4,AC,Asphalt concrete layer,0,2,"Hot Mixed, Hot Laid AC, Open Graded",Friction Course,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arizona,1003,4,5,AC,Asphalt concrete layer,157.48,1,"Hot Mixed, Hot Laid AC, Dense Graded",Overlay,1,14,,,,,,,1.7899999618530273,25,50,,,0.41999998688697815,25,6.5,,100,100,94,74,67.5,53,39,20.5,9,5.300000190734863,4.199999809265137,2.5460000038146973,2.38100004196167,1.86,0.28,0.8500000238418579,0,2.680000066757202,1.0299999713897705,14.899999618530273,56.5,
